protocol,total_packets,syn(common),"[syn,ack](common)",final_ack(common),syn_ratio(common),syn_ack_rate(common),ack_ratio(common),get_count,get_ratio,avg_pkt_size,unique_uri_ratio,avg_session_duration,num_contributing_ips,label
TCP,4,0,0,0,0,0,0,0,0,103,0,0.338,2,Normal
TCP,25,0,0,0,0,0,0,0,0,400.92,0,0.986,2,Normal
TCP,22,0,0,0,0,0,0,0,0,115.41,0,2.186,2,Normal
TCP,22,0,0,0,0,0,0,0,0,195.5,0,3.014,2,Normal
TCP,20,0,1,0,0,0,0,0,0,790.65,0,3.259,2,Normal
TCP,35,0,0,0,0,0,0,0,0,123.54,0,4.428,2,Normal
TCP,17,0,0,0,0,0,0,0,0,156.06,0,4.974,2,Normal
TCP,16,0,0,0,0,0,0,0,0,141.56,0,5.781,2,Normal
TCP,23,1,0,0,0.043,0,0,0,0,123.57,0,4.712,3,Normal
TCP,25,0,0,0,0,0,0,0,0,431.8,0,3.728,3,Normal
TCP,16,0,0,0,0,0,0,0,0,146.56,0,4.179,2,Normal
TCP,15,0,0,0,0,0,0,0,0,143.47,0,4.581,2,Normal
TCP,89,0,0,0,0,0,0,0,0,294.39,0,5.127,2,Normal
TCP,34,0,0,0,0,0,0,0,0,367.82,0,5.511,2,Normal
TCP,93,1,0,0,0.011,0,0,0,0,6497.68,0,5.794,4,Normal
TCP,56,0,0,0,0,0,0,0,0,5704.36,0,6.08,2,Normal
TCP,24,1,0,0,0.042,0,0,0,0,2290.5,0,6.795,3,Normal
TCP,51,0,0,0,0,0,0,0,0,6155.43,0,6.727,2,Normal
TCP,76,0,0,0,0,0,0,0,0,1422.57,0,7.092,2,Normal
TCP,100,0,0,0,0,0,0,0,0,1491.51,0,7.332,2,Normal
TCP,100,1,0,0,0.01,0,0,0,0,917.85,0,6.671,3,Normal
TCP,33,0,0,0,0,0,0,0,0,1855.39,0,6.911,2,Normal
TCP,42,0,0,0,0,0,0,0,0,4967.1,0,7.229,2,Normal
TCP,100,0,0,0,0,0,0,0,0,3878.5,0,8.721,3,Normal
TCP,100,0,0,0,0,0,0,0,0,3583.44,0,8.831,2,Normal
TCP,100,0,0,0,0,0,0,0,0,2589.62,0,9.172,2,Normal
TCP,100,1,0,0,0.01,0,0,0,0,1909.74,0,8.243,3,Normal
TCP,100,1,0,0,0.01,0,0,0,0,1557.34,0,7.702,3,Normal
TCP,100,1,0,0,0.01,0,0,0,0,2038.57,0,7.074,3,Normal
TCP,100,0,0,0,0,0,0,0,0,1861.22,0,7.616,3,Normal
TCP,100,0,0,0,0,0,0,0,0,3424.48,0,7.875,2,Normal
TCP,100,0,0,0,0,0,0,0,0,2706.68,0,7.947,2,Normal
TCP,100,0,0,0,0,0,0,0,0,3862.55,0,8.207,2,Normal
TCP,100,0,0,0,0,0,0,0,0,3182.06,0,8.271,2,Normal
TCP,100,0,0,0,0,0,0,0,0,3372.33,0,8.341,2,Normal
TCP,100,0,0,0,0,0,0,0,0,2803.56,0,8.593,2,Normal
TCP,100,0,0,0,0,0,0,0,0,3040.59,0,8.66,2,Normal
TCP,100,0,0,0,0,0,0,0,0,3509.81,0,8.82,2,Normal
TCP,100,0,0,0,0,0,0,0,0,2944.61,0,8.986,2,Normal
TCP,100,0,0,0,0,0,0,0,0,3201.43,0,9.064,2,Normal
TCP,100,0,0,0,0,0,0,0,0,3387.3,0,9.316,2,Normal
TCP,100,0,0,0,0,0,0,0,0,2733.15,0,9.475,2,Normal
TCP,100,0,0,0,0,0,0,0,0,2496.02,0,10.458,3,Normal
TCP,100,0,0,0,0,0,0,0,0,2657.31,0,10.52,2,Normal
TCP,100,0,0,0,0,0,0,0,0,2587.65,0,10.766,2,Normal
TCP,100,0,0,0,0,0,0,0,0,2625.9,0,10.833,2,Normal
TCP,100,0,0,0,0,0,0,0,0,2600.54,0,10.896,2,Normal
TCP,100,0,0,0,0,0,0,0,0,1858.7,0,11.119,2,Normal
TCP,100,0,0,0,0,0,0,0,0,2997.55,0,11.184,2,Normal
TCP,100,0,0,0,0,0,0,0,0,2779.85,0,11.713,3,Normal
TCP,100,0,0,0,0,0,0,0,0,2939.79,0,11.962,2,Normal
TCP,100,0,0,0,0,0,0,0,0,2995.95,0,12.028,2,Normal
TCP,100,0,0,0,0,0,0,0,0,2781.45,0,12.09,2,Normal
TCP,100,0,0,0,0,0,0,0,0,2640.04,0,12.341,2,Normal
TCP,100,0,0,0,0,0,0,0,0,2633.46,0,12.408,2,Normal
TCP,100,0,0,0,0,0,0,0,0,2489.83,0,12.566,2,Normal
TCP,100,1,0,0,0.01,0,0,0,0,2568.04,0,11.67,3,Normal
TCP,100,0,0,0,0,0,0,0,0,2883.3,0,11.742,2,Normal
TCP,100,0,0,0,0,0,0,0,0,2444.67,0,11.964,2,Normal
TCP,100,0,0,0,0,0,0,0,0,3407.81,0,12.037,2,Normal
TCP,100,0,0,0,0,0,0,0,0,3495.62,0,12.186,2,Normal
TCP,100,0,0,0,0,0,0,0,0,3461.83,0,12.333,2,Normal
TCP,100,0,0,0,0,0,0,0,0,3300.72,0,13.235,3,Normal
TCP,100,0,0,0,0,0,0,0,0,3400.1,0,13.461,2,Normal
TCP,100,0,0,0,0,0,0,0,0,3189.64,0,13.557,2,Normal
TCP,100,0,0,0,0,0,0,0,0,2988.07,0,13.665,2,Normal
TCP,100,0,0,0,0,0,0,0,0,2775.36,0,13.726,2,Normal
TCP,100,0,0,0,0,0,0,0,0,2651.54,0,13.958,2,Normal
TCP,100,0,0,0,0,0,0,0,0,2463.46,0,14.014,2,Normal
TCP,100,0,0,0,0,0,0,0,0,2601.52,0,14.503,3,Normal
TCP,100,1,0,0,0.01,0,0,0,0,2622.75,0,13.596,3,Normal
TCP,100,0,0,0,0,0,0,0,0,2493.77,0,13.699,2,Normal
TCP,100,1,0,0,0.01,0,0,0,0,2672.71,0,12.817,3,Normal
TCP,100,2,0,0,0.02,0,0,0,0,2372.01,0,11.257,4,Normal
TCP,100,0,0,0,0,0,0,0,0,2443.39,0,11.434,3,Normal
TCP,100,0,0,0,0,0,0,0,0,2529.64,0,11.48,2,Normal
TCP,100,0,0,0,0,0,0,0,0,2797.28,0,11.529,2,Normal
TCP,100,0,0,0,0,0,0,0,0,2346.79,0,11.702,2,Normal
TCP,100,0,0,0,0,0,0,0,0,2646.65,0,11.751,2,Normal
TCP,100,1,0,0,0.01,0,0,0,0,2985.44,0,11.185,3,Normal
TCP,100,0,0,0,0,0,0,0,0,2735.34,0,11.229,2,Normal
TCP,100,0,0,0,0,0,0,0,0,2556.33,0,11.331,2,Normal
TCP,100,0,0,0,0,0,0,0,0,1652.44,0,11.439,2,Normal
TCP,100,3,0,0,0.03,0,0,0,0,2762.43,0,10.277,6,Normal
TCP,100,0,0,0,0,0,0,0,0,3164.84,0,10.416,2,Normal
TCP,100,0,0,0,0,0,0,0,0,2095.16,0,10.442,2,Normal
TCP,100,0,0,0,0,0,0,0,0,3849.99,0,10.525,2,Normal
TCP,100,0,0,0,0,0,0,0,0,3659.58,0,10.61,2,Normal
